kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
KIR,Kiribati,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,43.2,43.2,42.9,42.3
KNA,St. Kitts and Nevis,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.5,16.2,15.9,15.5
KOR,"Korea, Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.7,2.6,2.6,2.5
KWT,Kuwait,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.7,7.6,7.6,7.6
LAC,Latin America & Caribbean (excluding high income),"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.2151278675723,14.8494626422004,14.5497446831268,14.3180325731087
LAO,Lao PDR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36.4,34.8,33.3,31.9
LBN,Lebanon,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.8,12.2,12.6,13.1
LBR,Liberia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,63.7,63.4,63.3,63.4
LBY,Libya,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.8,9.5,9.2,9.0
LCA,St. Lucia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.8,16.7,16.6,16.5
LCN,Latin America & Caribbean,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.3,14.9,14.6,14.4
LDC,Least developed countries: UN classification,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,47.8350515081626,45.6124436900325,44.7718946200975,43.6375843724231
LIC,Low income,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,54.4,51.6,50.9,49.6
LKA,Sri Lanka,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.7,6.5,6.2,6.0
LMC,Lower middle income,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.0,38.0,37.1,36.2
LMY,Low & middle income,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,32.5977796519566,32.1549671553913,31.6827492380857,31.5839320935802
LSO,Lesotho,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,68.0,65.2,63.5,62.1
LTE,Late-demographic dividend,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.69753410299959,8.38966269944465,8.09785774062189,7.94891980890091
LTU,Lithuania,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.7,3.5,3.3,3.1
LUX,Luxembourg,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.1,2.1,2.0,2.0
LVA,Latvia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.8,3.6,3.3,3.1
MAR,Morocco,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.3,18.5,17.8,17.1
MCO,Monaco,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.7,2.6,2.6,2.5
MDA,Moldova,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.0,14.1,14.1,14.3
MDG,Madagascar,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,43.7,43.9,44.1,44.3
MDV,Maldives,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.4,6.9,6.4,6.0
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,37.7,37.2,36.5,35.7
