kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
DNK,Denmark,"Population, total",SP.POP.TOTL,5764980.0,5793636.0,5814422.0,5831404.0
DOM,Dominican Republic,"Population, total",SP.POP.TOTL,10666843.0,10782053.0,10894043.0,11008300.0
DZA,Algeria,"Population, total",SP.POP.TOTL,41689299.0,42505035.0,43294546.0,44042091.0
EAP,East Asia & Pacific (excluding high income),"Population, total",SP.POP.TOTL,2087238522.0,2100698838.0,2112289891.0,2121866294.0
EAR,Early-demographic dividend,"Population, total",SP.POP.TOTL,3274060446.0,3314245247.0,3355014793.0,3396051187.0
EAS,East Asia & Pacific,"Population, total",SP.POP.TOTL,2333475520.0,2347576325.0,2359762190.0,2369420882.0
ECA,Europe & Central Asia (excluding high income),"Population, total",SP.POP.TOTL,244308649.0,246400484.0,248576676.0,250351240.0
ECS,Europe & Central Asia,"Population, total",SP.POP.TOTL,915065824.0,918689254.0,921932163.0,923664467.0
ECU,Ecuador,"Population, total",SP.POP.TOTL,16759519.0,17049547.0,17340021.0,17546065.0
EGY,"Egypt, Arab Rep.","Population, total",SP.POP.TOTL,103696057.0,105682094.0,107553158.0,109315124.0
EMU,Euro area,"Population, total",SP.POP.TOTL,344810179.0,345864630.0,346496601.0,346986142.0
ERI,Eritrea,"Population, total",SP.POP.TOTL,3150347.0,3192760.0,3240194.0,3291271.0
ESP,Spain,"Population, total",SP.POP.TOTL,46571232.0,46782011.0,47118501.0,47359424.0
EST,Estonia,"Population, total",SP.POP.TOTL,1317384.0,1321977.0,1326898.0,1329522.0
ETH,Ethiopia,"Population, total",SP.POP.TOTL,109666481.0,112664152.0,115737383.0,118917671.0
EUU,European Union,"Population, total",SP.POP.TOTL,445321060.0,446329890.0,446910453.0,446870959.0
FCS,Fragile and conflict affected situations,"Population, total",SP.POP.TOTL,931222867.0,951851595.0,973035228.0,994901090.0
FIN,Finland,"Population, total",SP.POP.TOTL,5508214.0,5515525.0,5521606.0,5529543.0
FJI,Fiji,"Population, total",SP.POP.TOTL,918759.0,917180.0,914899.0,914963.0
FRA,France,"Population, total",SP.POP.TOTL,66918020.0,67158348.0,67382061.0,67601110.0
FRO,Faroe Islands,"Population, total",SP.POP.TOTL,50180.0,50996.0,51792.0,52565.0
FSM,"Micronesia, Fed. Sts.","Population, total",SP.POP.TOTL,109481.0,109909.0,110282.0,110916.0
GAB,Gabon,"Population, total",SP.POP.TOTL,2156900.0,2212318.0,2267706.0,2322539.0
GBR,United Kingdom,"Population, total",SP.POP.TOTL,65966000.0,66289000.0,66631000.0,66744000.0
GEO,Georgia,"Population, total",SP.POP.TOTL,3728004.0,3726549.0,3720161.0,3722716.0
GHA,Ghana,"Population, total",SP.POP.TOTL,30008354.0,30637585.0,31258945.0,31887809.0
GIB,Gibraltar,"Population, total",SP.POP.TOTL,34245.0,34854.0,35494.0,36173.0
GIN,Guinea,"Population, total",SP.POP.TOTL,12385659.0,12704774.0,13034346.0,13371183.0
GMB,"Gambia, The","Population, total",SP.POP.TOTL,2342189.0,2399632.0,2456844.0,2515733.0
GNB,Guinea-Bissau,"Population, total",SP.POP.TOTL,1877072.0,1922168.0,1967696.0,2013255.0
